BM25_TA,BM25_FT,COSINE_TA,COSINE_FT,PMRA_TA,PMRA_FT
0.120752279,0.12320229,0.273996412,0.229867678,0.132386715,0.188595712
0.127376144,0.127513724,0.136172379,0.125367788,0.150341622,0.211627608
0.121433207,0.11796148,0.264032795,0.214681453,0.10921046,0.153571844
0.145279934,0.13980708,0.175155764,0.1675788,0.116971702,0.133116937
0.121909449,0.132596999,0.182892238,0.195319582,0.122825344,0.125435517
0.120504595,0.12062317,0.240772528,0.20400647,0.113997998,0.151227053
0.120444301,0.117583224,0.134887192,0.118707647,0.118365358,0.168623807
0.12108027,0.128595378,0.22364121,0.178245314,0.13276998,0.155483515
0.135480253,0.143098674,0.15608829,0.11707109,0.124290588,0.1793709
0.120348168,0.119656498,0.150243696,0.130469056,0.112369007,0.151976391
0.126988864,0.134959108,0.157788537,0.181097623,0.134305664,0.128808235
0.12022507,0.126632588,0.178415209,0.153320949,0.116977475,0.132851638
0.148107698,0.126653565,0.172237601,0.187486899,0.122874475,0.165106213
0.146313942,0.143946338,0.175362395,0.174232768,0.142934947,0.207840396
0.156371723,0.139053324,0.252772857,0.208934672,0.146048092,0.127403429
0.12203513,0.141197436,0.161436212,0.198914406,0.114898635,0.119618289
0.133986695,0.148357966,0.160292739,0.154873767,0.119530553,0.148164921
0.121066848,0.126740711,0.205291665,0.224498404,0.13039981,0.119772793
0.138910351,0.122765442,0.131802815,0.199304802,0.139780286,0.098533283
0.120767685,0.13396357,0.210828606,0.213487731,0.125950726,0.104584586
0.149025991,0.14400173,0.203885155,0.150301625,0.138241121,0.1573573
0.121223758,0.132407181,0.261079396,0.222814048,0.128706942,0.141525637
0.122312839,0.132377642,0.272268894,0.227730403,0.133996657,0.13023368
0.120899058,0.133537176,0.123081803,0.22391825,0.117504851,0.113812329
0.134843002,0.163225887,0.168357313,0.220754951,0.126587794,0.135455904
0.178806455,0.141402777,0.190144012,0.136572076,0.13863904,0.145859493
0.125595593,0.131971902,0.156049819,0.180431743,0.120930113,0.115654559
0.129738923,0.143490563,0.223262663,0.229721845,0.120494141,0.122213384
0.146940094,0.122202809,0.236120973,0.20733185,0.107081794,0.125258663
0.122744211,0.128502647,0.137896493,0.228786555,0.127756214,0.159773183
0.133851799,0.164147013,0.138576886,0.228117059,0.170118126,0.105885168
0.121767525,0.126888896,0.154095711,0.213151136,0.115446311,0.118654317
0.121698604,0.121293297,0.126188677,0.145158926,0.13162778,0.132009413
0.126410358,0.157121494,0.176097304,0.233652801,0.148189863,0.111115203
0.14078967,0.175567789,0.174557282,0.234491981,0.141983645,0.149759629
0.143969754,0.136355394,0.217312864,0.137969213,0.127384968,0.147711964
0.127737165,0.1387606,0.242865864,0.208243225,0.121183995,0.135986252
0.120102526,0.130852859,0.223696366,0.215501243,0.111849452,0.112044229
0.123818244,0.148431843,0.169142975,0.223750433,0.129618191,0.115742533
0.120354008,0.125321506,0.124947494,0.227925708,0.120032052,0.086650633
0.126549627,0.166779646,0.181070743,0.23041812,0.112537242,0.12777587
0.132026819,0.147932482,0.237726376,0.234716309,0.11719569,0.137596261
0.135038583,0.171878054,0.155131662,0.222300005,0.145478404,0.107709614
0.125826266,0.149708905,0.251968937,0.205748216,0.113651258,0.125425338
0.130554984,0.150131481,0.157167924,0.23418901,0.146297593,0.135129379
0.126049244,0.128934055,0.178435014,0.209128974,0.125741018,0.120084908
0.1208985,0.145131592,0.257085102,0.231186162,0.110864926,0.142619697
0.12553145,0.138390692,0.136553688,0.223848704,0.154005745,0.106131169
0.129652872,0.172779102,0.230935402,0.126692423,0.113054898,0.195367971
0.125490438,0.124960482,0.125602669,0.190154155,0.152591008,0.107608856
0.125365203,0.15937478,0.141812691,0.214039917,0.132201891,0.124660098
0.124121222,0.135963495,0.136789891,0.208757093,0.114318418,0.118009106
0.128793387,0.127198028,0.225109707,0.234387142,0.11550273,0.083755372
0.124880545,0.157565804,0.235618936,0.185458321,0.108014942,0.127695825
0.125119997,0.127850492,0.225709533,0.227897762,0.106779929,0.140604948
0.127753726,0.146168992,0.141187732,0.172616458,0.150459133,0.132403691
0.120405988,0.133450954,0.234415734,0.231639427,0.125983644,0.106148977
0.146266807,0.133575847,0.160112686,0.231192275,0.175381308,0.123622185
0.121233466,0.136252252,0.261336772,0.223615656,0.114420163,0.128135688
0.120187521,0.133669134,0.228448039,0.200326509,0.111658379,0.113993709
0.125656516,0.137586241,0.164163295,0.119795598,0.11882417,0.161491162
0.121045629,0.127849117,0.127406606,0.212257774,0.16555054,0.121516226
